MSE file,previous time_created,new time_created,unchanged time_modified
card 1-11 mechanical specialist,2026-04-08 22:35:45,2026-08-05 10:00:00,2026-09-19 21:32:26
card achilles bartrax,2025-10-16 12:49:30,2025-10-16 12:30:00,2026-02-26 17:59:35
card alekos champion of phenax,2025-10-16 12:49:30,2025-10-16 10:30:00,2026-02-23 17:25:39
card alma 1 rip-off artist,2026-04-08 22:35:45,2026-09-20 12:46:23,2026-09-20 12:08:37
card amoto soreen,2026-04-08 22:35:45,2026-09-19 10:00:00,2026-09-20 00:00:01
card aspected chaos the fool,2026-04-08 22:35:45,2026-08-19 10:00:00,2026-09-19 21:50:06
card briammos that one pegasus,2025-10-16 12:49:30,2025-10-16 10:45:00,2026-02-23 21:45:14
card cat master obstacle remover,2026-04-08 22:35:45,2026-08-05 10:30:00,2026-09-19 21:32:03
card charon shepherd of the dead,2026-04-08 22:35:45,2026-08-05 11:00:00,2026-09-19 21:31:17
card ciocie cioelle,2026-04-08 22:35:45,2026-08-19 10:30:00,2026-09-20 00:11:57
card eris-lo kai,2026-04-08 22:35:45,2026-09-19 10:30:00,2026-09-19 23:28:47
card etlin da,2026-04-08 22:35:45,2026-09-19 11:00:00,2026-09-19 23:37:12
card gog-agog bearer of the word beast,2026-04-08 22:35:45,2026-08-12 10:00:00,2026-05-19 21:07:34
card himself,2026-04-08 22:35:45,2026-08-19 11:00:00,2026-05-19 20:02:57
card hrotomos,2026-04-08 22:35:45,2026-09-19 11:30:00,2026-09-19 23:39:21
card incubus,2026-04-08 22:35:45,2026-08-12 10:30:00,2026-09-19 22:55:25
card ingsvid geas knight,2026-04-08 22:35:45,2026-09-19 12:00:00,2026-09-20 00:12:58
card jadis,2026-04-08 22:35:45,2026-08-12 11:00:00,2026-09-19 22:55:07
card jagganoth,2026-04-08 22:35:45,2026-08-12 11:30:00,2026-09-19 22:55:29
card kierinsaval the golden feather,2026-04-08 22:35:45,2026-09-19 12:30:00,2026-09-19 23:49:12
card kill six billion demons,2026-04-08 22:35:45,2026-08-19 11:30:00,2026-09-20 00:18:50
card kleptos champion of miatros,2025-10-16 12:49:30,2025-10-16 11:00:00,2026-02-21 03:32:16
card layla brimstone gun witch,2026-04-08 22:35:45,2026-09-19 13:00:00,2026-09-19 22:02:05
card lucky felicia door opener,2026-04-08 22:35:45,2026-08-05 11:30:00,2026-05-19 13:54:19
card mammon bearer of the word tower,2026-04-08 22:35:45,2026-08-12 12:00:00,2026-05-19 20:52:59
card mathangi mantra,2026-04-08 22:35:45,2026-08-12 12:30:00,2026-05-20 10:36:40
card mathangi mantra.1,2026-04-08 22:35:45,2026-08-12 12:30:00,2026-05-20 12:31:35
card melecles champion of athreos,2025-10-16 12:49:30,2025-10-16 11:15:00,2026-02-23 20:26:53
card meng blue-bellied,2026-04-08 22:35:45,2026-09-19 13:30:00,2026-09-19 23:51:26
card miatros champion of pharika,2025-10-16 12:49:30,2025-10-16 11:30:00,2026-02-24 22:09:45
card monkey,2026-04-08 22:35:45,2026-09-19 14:00:00,2026-09-19 23:44:18
card mottom bearer of the word glory,2026-04-08 22:35:45,2026-08-12 13:00:00,2026-09-18 16:13:00
card oscar badstar leader,2026-04-08 22:35:45,2026-08-05 12:00:00,2026-05-19 21:38:57
card oxizanct champion of arasta,2025-10-16 12:49:30,2025-10-16 11:45:00,2026-04-06 12:53:11
card persephone and odysseus,2025-10-16 12:49:30,2025-10-16 12:00:00,2026-02-23 21:44:41
card princess,2026-04-08 22:35:45,2026-08-19 12:00:00,2026-09-19 22:55:18
card saar red-tusked,2026-04-08 22:35:45,2026-09-19 14:30:00,2026-09-20 00:04:54
card solomon david bearer of the word diamond,2026-04-08 22:35:45,2026-08-12 13:30:00,2026-09-19 21:41:47
card suuze the acrobat,2026-04-08 22:35:45,2026-08-05 12:30:00,2026-09-19 21:29:36
card tasia champion of ephara,2025-10-16 12:49:30,2025-10-16 12:15:00,2026-02-22 14:04:18
card vigilant gaze,2026-04-08 22:35:45,2026-08-19 12:30:00,2026-09-19 22:32:03
card white chain in the flesh,2026-04-08 22:35:45,2026-08-20 11:00:00,2026-09-19 21:45:49
card white chain seeker of atonement,2026-04-08 22:35:45,2026-08-20 11:00:00,2026-05-20 00:21:49
card white chain seeker of atonement.1,2026-04-08 22:35:45,2026-08-20 11:00:00,2026-09-18 16:11:01
card xand  nxor painter  bodyguard,2026-04-08 22:35:45,2026-08-05 13:00:00,2026-09-19 21:21:36
card yabalchoath,2026-04-08 22:35:45,2026-08-19 13:00:00,2026-09-19 21:38:29
card yanyi,2026-04-08 22:35:45,2026-09-19 15:00:00,2026-09-19 23:32:37
card yash,2026-04-08 22:35:45,2026-09-19 15:30:00,2026-09-19 23:30:20
card zaid the heir,2026-04-08 22:35:45,2026-08-19 13:30:00,2026-05-20 12:55:05
